ID	P.Value	logFC	Gene.symbol	Gene.title
1421144_at	3.23e-02	1.37e-01	Rpgrip1	retinitis pigmentosa GTPase regulator interacting protein 1
1433366_at	3.23e-02	-3.56e-01	6030458A19Rik	RIKEN cDNA 6030458A19 gene
1435761_at	3.23e-02	1.40	BC100530///Stfa1	cDNA sequence BC100530///stefin A1
1441173_at	3.23e-02	5.15e-01	4930451G09Rik	RIKEN cDNA 4930451G09 gene
1442381_at	3.24e-02	3.05e-01		
1423796_at	3.24e-02	2.93e-01	Sfpq	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)
1448820_a_at	3.24e-02	-1.65e-01	Eif2s2	eukaryotic translation initiation factor 2, subunit 2 (beta)
1416977_at	3.24e-02	-3.65e-01	Stam2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2
1450879_at	3.24e-02	-2.14e-01	Atp9b	ATPase, class II, type 9B
1429673_at	3.24e-02	-3.87e-01	5830407E08Rik	RIKEN cDNA 5830407E08 gene
1459008_at	3.24e-02	-2.85e-01		
1427423_at	3.24e-02	1.04	Cyb5rl	cytochrome b5 reductase-like
1421640_a_at	3.24e-02	-2.01e-01	Tank	TRAF family member-associated Nf-kappa B activator
1438515_at	3.24e-02	-3.58e-01	Zfp207	zinc finger protein 207
1425965_at	3.24e-02	1.55	Ubc	ubiquitin C
1432064_at	3.24e-02	-6.59e-01	Ubox5	U box domain containing 5
1456642_x_at	3.24e-02	-1.35e-01	S100a10	S100 calcium binding protein A10 (calpactin)
1415759_a_at	3.24e-02	-1.36e-01	Lamtor5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5
1424646_at	3.24e-02	-1.82e-01	Uckl1	uridine-cytidine kinase 1-like 1
1434735_at	3.24e-02	4.68e-01	Hlf	hepatic leukemia factor
1433393_at	3.24e-02	-6.31e-01	3300002I10Rik	RIKEN cDNA 3300002I10 gene
1440951_x_at	3.25e-02	6.91e-01	Wapl	WAPL cohesin release factor
1418201_at	3.25e-02	-4.36e-01	Plekhg2	pleckstrin homology domain containing, family G (with RhoGef domain) member 2
1455479_a_at	3.25e-02	1.43e-01	Ube2d3	ubiquitin-conjugating enzyme E2D 3
1419753_at	3.25e-02	3.39e-01	Nfx1	nuclear transcription factor, X-box binding 1
1421065_at	3.25e-02	1.44e-01	Jak2	Janus kinase 2
1441238_at	3.25e-02	-2.04e-01	Pds5a	PDS5 cohesin associated factor A
1449404_at	3.25e-02	1.88e-01	Pip4k2a	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha
1427960_at	3.25e-02	1.58	Ugt2b34	UDP glucuronosyltransferase 2 family, polypeptide B34
1448663_s_at	3.26e-02	-4.20e-01	Mvd	mevalonate (diphospho) decarboxylase
1451265_at	3.26e-02	2.20e-01	Ccdc115	coiled-coil domain containing 115
1446066_at	3.26e-02	5.65e-01	Zcchc17	zinc finger, CCHC domain containing 17
1433394_at	3.26e-02	1.49	Mast4	microtubule associated serine/threonine kinase family member 4
1440773_at	3.26e-02	2.31e-01	Cep44	centrosomal protein 44
1420834_at	3.26e-02	2.66e-01	Vamp2	vesicle-associated membrane protein 2
1451918_a_at	3.26e-02	2.07e-01	Borcs5	BLOC-1 related complex subunit 5
1436239_at	3.27e-02	6.81e-01	Slc5a5	solute carrier family 5 (sodium iodide symporter), member 5
1429606_at	3.27e-02	4.72e-01	Ublcp1	ubiquitin-like domain containing CTD phosphatase 1
1453372_at	3.27e-02	-2.11e-01	Dnajc1	DnaJ heat shock protein family (Hsp40) member C1
1448005_at	3.27e-02	3.50e-01	Sash1	SAM and SH3 domain containing 1
1447310_at	3.27e-02	-1.03	Hykk	hydroxylysine kinase 1
1451212_at	3.28e-02	3.12e-01	Cep85	centrosomal protein 85
1418820_s_at	3.28e-02	1.40e-01	Zcchc10	zinc finger, CCHC domain containing 10
1452967_at	3.28e-02	-1.00	Gtsf1	gametocyte specific factor 1
1424990_at	3.28e-02	-1.67e-01	Orai1	ORAI calcium release-activated calcium modulator 1
1420437_at	3.28e-02	1.06	Ido1	indoleamine 2,3-dioxygenase 1
1444044_at	3.28e-02	5.58e-01		
1446686_at	3.29e-02	2.49e-01		
1448523_at	3.29e-02	8.57e-01	Nphp1	nephronophthisis 1 (juvenile) homolog (human)
1415838_at	3.29e-02	-2.12e-01	Serinc1	serine incorporator 1
1455612_at	3.29e-02	-2.19e-01	Slc38a9	solute carrier family 38, member 9
1452255_at	3.29e-02	1.57e-01	Fbxo38	F-box protein 38
1424753_at	3.29e-02	-1.97e-01	Nudt14	nudix (nucleoside diphosphate linked moiety X)-type motif 14
1423327_at	3.29e-02	-6.35e-01	Rpl39l	ribosomal protein L39-like
1423489_at	3.30e-02	-2.77e-01	Mmd	monocyte to macrophage differentiation-associated
1429896_at	3.30e-02	2.72e-01	5830408B19Rik	RIKEN cDNA 5830408B19 gene
1415985_at	3.30e-02	1.77e-01	Sf3b3	splicing factor 3b, subunit 3
1430316_at	3.30e-02	4.36e-01	Ispd	isoprenoid synthase domain containing
1448420_a_at	3.30e-02	1.87e-01	Fbxl12	F-box and leucine-rich repeat protein 12
1420556_at	3.30e-02	-3.06e-01	Oxt	oxytocin
1454628_at	3.30e-02	-1.81e-01	Iffo1	intermediate filament family orphan 1
1436577_at	3.30e-02	6.04e-01	Arhgef9	CDC42 guanine nucleotide exchange factor (GEF) 9
1448152_at	3.30e-02	6.89e-01	Igf2	insulin-like growth factor 2
1440782_at	3.30e-02	-1.03	Skap1	src family associated phosphoprotein 1
1435403_at	3.30e-02	-4.35e-01	1700007L15Rik	RIKEN cDNA 1700007L15 gene
1447864_s_at	3.30e-02	-2.85e-01	Pogk	pogo transposable element with KRAB domain
1434871_at	3.31e-02	-3.02e-01	Cox17	cytochrome c oxidase assembly protein 17
1421896_at	3.31e-02	-4.10e-01	Elk1	ELK1, member of ETS oncogene family
1420848_at	3.31e-02	-8.84e-01	Sufu	suppressor of fused homolog (Drosophila)
1441252_at	3.31e-02	4.46e-01	2010001A14Rik	RIKEN cDNA 2010001A14 gene
1439306_at	3.31e-02	-4.34e-01		
1418531_at	3.31e-02	6.29e-01	Oosp1	oocyte secreted protein 1
1419913_at	3.31e-02	2.77e-01	Strap	serine/threonine kinase receptor associated protein
1421924_at	3.32e-02	-8.19e-01	Slc2a3	solute carrier family 2 (facilitated glucose transporter), member 3
1428388_at	3.32e-02	-1.50e-01	Tnks2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2
1453421_at	3.32e-02	3.76e-01	Srr	serine racemase
1447550_at	3.32e-02	3.38e-01	Gm8350	predicted gene 8350
1458027_at	3.32e-02	8.05e-01	Mrpl17	mitochondrial ribosomal protein L17
1460545_at	3.32e-02	1.56e-01	Thrap3	thyroid hormone receptor associated protein 3
1451310_a_at	3.32e-02	8.08e-01	Ctsl	cathepsin L
1431033_x_at	3.32e-02	-1.92e-01	Agl	amylo-1,6-glucosidase, 4-alpha-glucanotransferase
1444635_at	3.33e-02	4.93e-01	Usp3	ubiquitin specific peptidase 3
1452660_s_at	3.33e-02	-1.73e-01	Klhl7	kelch-like 7
1449994_at	3.33e-02	-4.48e-01	Epgn	epithelial mitogen
1452026_a_at	3.33e-02	4.83e-01	Pla2g12a	phospholipase A2, group XIIA
1455728_at	3.33e-02	1.91e-01	Pten	phosphatase and tensin homolog
1452322_a_at	3.33e-02	-3.24e-01	Brwd1	bromodomain and WD repeat domain containing 1
1421842_a_at	3.33e-02	-3.93e-01	Adat3///Scamp4	adenosine deaminase, tRNA-specific 3///secretory carrier membrane protein 4
1454776_at	3.33e-02	1.47e-01	LOC102641262///Ehmt1	uncharacterized LOC102641262///euchromatic histone methyltransferase 1
1428378_at	3.33e-02	2.42e-01	Zc3hav1	zinc finger CCCH type, antiviral 1
1456287_at	3.34e-02	-1.70	BB236558	expressed sequence BB236558
1431400_a_at	3.34e-02	-2.87e-01	Gas7	growth arrest specific 7
1416546_a_at	3.34e-02	-1.20e-01	Rpl6	ribosomal protein L6
1438102_at	3.34e-02	-4.08e-01	Senp8	SUMO/sentrin specific peptidase 8
1458342_at	3.34e-02	-6.29e-01	Syndig1l	synapse differentiation inducing 1 like
1418798_s_at	3.34e-02	4.29e-01	Srpk3	serine/arginine-rich protein specific kinase 3
1434472_at	3.34e-02	-1.72e-01	Dusp3	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)
1442910_at	3.34e-02	-1.68		
1427959_at	3.34e-02	2.03e-01	Abhd10	abhydrolase domain containing 10
1418334_at	3.34e-02	1.93e-01	Dbf4	DBF4 zinc finger
1444088_at	3.34e-02	-5.53e-01		
1446149_at	3.34e-02	-1.02	Ppp3cb	protein phosphatase 3, catalytic subunit, beta isoform
1437148_at	3.35e-02	-1.21e-01	Arpc2	actin related protein 2/3 complex, subunit 2
1447637_at	3.35e-02	-4.83e-01		
1432409_at	3.35e-02	6.06e-01	Prkar2a	protein kinase, cAMP dependent regulatory, type II alpha
1444321_at	3.35e-02	3.10e-01		
1446903_at	3.35e-02	-1.49		
1425922_a_at	3.35e-02	-5.13e-01	Mycn	v-myc avian myelocytomatosis viral related oncogene, neuroblastoma derived
1436622_at	3.35e-02	3.69e-01	Iqsec2	IQ motif and Sec7 domain 2
1438229_at	3.36e-02	1.73e-01	Pggt1b	protein geranylgeranyltransferase type I, beta subunit
1430159_at	3.36e-02	-1.11	5830408C22Rik	RIKEN cDNA 5830408C22 gene
1434312_at	3.36e-02	-1.39e-01	Arf6	ADP-ribosylation factor 6
1450238_at	3.36e-02	1.00	Gcnt2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme
1456333_a_at	3.36e-02	-1.71e-01	Arhgap6	Rho GTPase activating protein 6
1432889_at	3.36e-02	1.74	4930466I24Rik	RIKEN cDNA 4930466I24 gene
1459698_at	3.36e-02	-9.69e-01		
1426453_at	3.36e-02	2.17e-01	Pitrm1	pitrilysin metallepetidase 1
1451058_at	3.36e-02	4.62e-01	Mcts2	malignant T cell amplified sequence 2
1453078_at	3.36e-02	-2.96e-01	Chmp1b///2610002M06Rik	charged multivesicular body protein 1B///RIKEN cDNA 2610002M06 gene
1460244_at	3.36e-02	1.10	Upb1	ureidopropionase, beta
1428632_at	3.36e-02	1.17	Tmem258	transmembrane protein 258
1416657_at	3.37e-02	-1.38e-01	Akt1	thymoma viral proto-oncogene 1
1427638_at	3.37e-02	5.44e-01	Zbtb16	zinc finger and BTB domain containing 16
1433539_at	3.37e-02	-1.77e-01	Commd3	COMM domain containing 3
1449108_at	3.37e-02	2.55e-01	Fdx1	ferredoxin 1
1426554_a_at	3.37e-02	2.03e-01	Pgam1	phosphoglycerate mutase 1
1445563_at	3.37e-02	5.12e-01	Eif2a	eukaryotic translation initiation factor 2A
1431064_at	3.37e-02	-1.97e-01	Dpp8	dipeptidylpeptidase 8
1457455_at	3.37e-02	2.25e-01	Zfp280d	zinc finger protein 280D
1424821_at	3.37e-02	-1.22e-01	Ndfip1	Nedd4 family interacting protein 1
1417753_at	3.37e-02	-1.31e-01	Pkd2	polycystic kidney disease 2
1438533_at	3.37e-02	-3.51e-01	Myo9b	myosin IXb
1449623_at	3.37e-02	-1.19	Txnrd3	thioredoxin reductase 3
1454147_at	3.37e-02	1.46	2810429I04Rik	RIKEN cDNA 2810429I04 gene
1436301_at	3.37e-02	-2.14e-01	Dstyk	dual serine/threonine and tyrosine protein kinase
1418928_a_at	3.37e-02	-2.09e-01	Mettl21a	methyltransferase like 21A
1434593_at	3.38e-02	2.37e-01	Eif5a2	eukaryotic translation initiation factor 5A2
1460419_a_at	3.38e-02	-1.34e-01	Prkcb	protein kinase C, beta
1439855_at	3.38e-02	-1.10	Tmtc1	transmembrane and tetratricopeptide repeat containing 1
1419047_at	3.38e-02	2.62e-01	Pcnx	pecanex homolog (Drosophila)
1435986_x_at	3.38e-02	-1.58e-01	Sdhc	succinate dehydrogenase complex, subunit C, integral membrane protein
1426188_s_at	3.38e-02	6.24e-01	BC005685	cDNA sequence BC005685
1451733_at	3.38e-02	1.93	Gcnt2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme
1444664_at	3.39e-02	1.99		
1421558_at	3.39e-02	4.59e-01	T2	brachyury 2
1443037_at	3.39e-02	-2.54e-01		
1455773_at	3.39e-02	4.55e-01		
1426411_a_at	3.40e-02	2.82e-01	Strbp	spermatid perinuclear RNA binding protein
1452485_at	3.40e-02	4.45e-01	Zfp652///Phospho1	zinc finger protein 652///phosphatase, orphan 1
1447147_at	3.40e-02	2.47e-01		
1419167_at	3.40e-02	1.38	Prap1	proline-rich acidic protein 1
1434837_at	3.40e-02	1.51e-01	Mdc1	mediator of DNA damage checkpoint 1
1429054_at	3.40e-02	1.66e-01	Mrpl47	mitochondrial ribosomal protein L47
1433138_at	3.40e-02	8.74e-01	5230401M06Rik	RIKEN cDNA 5230401M06 gene
1420444_at	3.40e-02	9.87e-01	Slc22a3	solute carrier family 22 (organic cation transporter), member 3
1437419_at	3.40e-02	1.57e-01	Bmp2k	BMP2 inducible kinase
1422113_at	3.40e-02	-1.01	Slc5a5	solute carrier family 5 (sodium iodide symporter), member 5
1442176_at	3.40e-02	4.13e-01	Arid5b	AT rich interactive domain 5B (MRF1-like)
1417594_at	3.40e-02	1.25e-01	Gkap1	G kinase anchoring protein 1
1447405_at	3.41e-02	1.61		
1448453_at	3.41e-02	1.98	Hsd3b1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1
1427174_at	3.41e-02	-3.05e-01	Gm38519///Gm4724///Gm14308///0610010B08Rik///Gm14434///Gm14432///Gm14326///Gm2004///Gm14430///Gm6710///Gm14325	predicted gene, 38519///predicted gene 4724///predicted gene 14308///RIKEN cDNA 0610010B08 gene///predicted gene 14434///predicted gene 14432///predicted gene 14326///predicted gene 2004///predicted gene 14430///predicted gene 6710///predicted gene 14325
1428235_at	3.41e-02	-1.86e-01	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein
1459624_at	3.41e-02	-7.77e-01		
1450105_at	3.41e-02	-2.48e-01	Adam10	a disintegrin and metallopeptidase domain 10
1419597_at	3.41e-02	1.47	Eda	ectodysplasin-A
1429216_at	3.41e-02	-2.30e-01	Paqr3	progestin and adipoQ receptor family member III
1451307_at	3.41e-02	-2.77e-01	Mrpl14	mitochondrial ribosomal protein L14
1431837_at	3.41e-02	-1.62	1200007C13Rik	RIKEN cDNA 1200007C13 gene
1429073_at	3.41e-02	3.02e-01	Ube2d-ps	ubiquitin-conjugating enzyme E2D, pseudogene
1415827_a_at	3.42e-02	1.40e-01	Serp1	stress-associated endoplasmic reticulum protein 1
1419031_at	3.42e-02	3.52e-01	Fads2	fatty acid desaturase 2
1451214_at	3.42e-02	-1.41e-01	Kbtbd2	kelch repeat and BTB (POZ) domain containing 2
1446132_at	3.43e-02	-6.61e-01		
1431616_at	3.43e-02	-1.05	Catsperg2	catsper channel auxiliary subunit gamma 2
1431358_at	3.43e-02	1.19	Parpbp	PARP1 binding protein
1438303_at	3.43e-02	6.77e-01	Tgfb2	transforming growth factor, beta 2
1440685_at	3.44e-02	-9.06e-01		
1442581_at	3.44e-02	3.04e-01	Ksr1	kinase suppressor of ras 1
1434750_at	3.44e-02	1.44e-01	Exoc3	exocyst complex component 3
1417961_a_at	3.44e-02	-3.22e-01	Trim30a	tripartite motif-containing 30A
1417255_at	3.44e-02	1.64e-01	Ift140	intraflagellar transport 140
1423054_at	3.44e-02	-1.87e-01	Wdr1	WD repeat domain 1
1456201_at	3.44e-02	-4.59e-01	4632427E13Rik	RIKEN cDNA 4632427E13 gene
1452438_s_at	3.45e-02	1.56e-01	Taf4	TATA-box binding protein associated factor 4
1446507_at	3.45e-02	2.65e-01		
1445749_at	3.45e-02	-7.77e-01		
1427912_at	3.45e-02	-2.44e-01	Cbr3	carbonyl reductase 3
1431285_at	3.45e-02	-4.29e-01	Mgrn1	mahogunin, ring finger 1
1456541_x_at	3.45e-02	2.67e-01	Atad3a	ATPase family, AAA domain containing 3A
1424389_at	3.45e-02	2.21e-01	Nupl1	nucleoporin like 1
1418934_at	3.46e-02	6.64e-01	Mab21l2	mab-21-like 2 (C. elegans)
1428565_at	3.46e-02	-1.86e-01	Unkl	unkempt family like zinc finger
1444233_at	3.46e-02	-5.92e-01	Gpr132	G protein-coupled receptor 132
1425217_a_at	3.46e-02	-2.86e-01	Synj2	synaptojanin 2
1420403_at	3.46e-02	-1.15	Atp2b2	ATPase, Ca++ transporting, plasma membrane 2
1428750_at	3.46e-02	-5.18e-01	Cdc42ep2	CDC42 effector protein (Rho GTPase binding) 2
1453024_at	3.46e-02	4.72e-01	Wdr37	WD repeat domain 37
1437657_at	3.46e-02	-3.05e-01	Scaper	S phase cyclin A-associated protein in the ER
1423945_a_at	3.46e-02	4.95e-01	Pkig	protein kinase inhibitor, gamma
1459033_at	3.46e-02	-1.81		
1457452_at	3.46e-02	-1.32	AA407782	expressed sequence AA407782
1426888_at	3.46e-02	-8.58e-01	Ehmt2	euchromatic histone lysine N-methyltransferase 2
1434535_at	3.46e-02	7.09e-01	Krt222	keratin 222
1432808_at	3.46e-02	-8.03e-01	5830426K05Rik	RIKEN cDNA 5830426K05 gene
1424114_s_at	3.47e-02	-7.27e-01	Lamb1	laminin B1
1453047_at	3.47e-02	2.01	Tspo2	translocator protein 2
1440099_at	3.47e-02	4.35e-01	Slc38a6	solute carrier family 38, member 6
1457671_at	3.47e-02	-4.13e-01	Homer2	homer scaffolding protein 2
1437193_s_at	3.47e-02	2.10e-01	Snrpb	small nuclear ribonucleoprotein B
1431979_at	3.47e-02	-3.35e-01	4930444M15Rik	RIKEN cDNA 4930444M15 gene
1429952_at	3.47e-02	-1.17	Mospd4	motile sperm domain containing 4
1418458_at	3.47e-02	-3.47e-01	Anapc7	anaphase promoting complex subunit 7
1455783_at	3.47e-02	2.97e-01		
1423902_s_at	3.48e-02	1.90e-01	Arhgef12	Rho guanine nucleotide exchange factor (GEF) 12
1442927_at	3.48e-02	-1.99e-01	Ptk2b	PTK2 protein tyrosine kinase 2 beta
1439569_at	3.48e-02	-1.18	Gpr83	G protein-coupled receptor 83
1425147_at	3.48e-02	-3.17e-01	Ccdc166	coiled-coil domain containing 166
1437305_at	3.48e-02	3.44e-01	Zfp770	zinc finger protein 770
1451755_a_at	3.48e-02	-2.32e-01	Apobec1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1
1423833_a_at	3.48e-02	-1.69e-01	Mpc2	mitochondrial pyruvate carrier 2
1455378_at	3.48e-02	3.10e-01	Rimkla	ribosomal modification protein rimK-like family member A
1422556_at	3.48e-02	-2.95e-01	Gna13	guanine nucleotide binding protein, alpha 13
1450888_at	3.48e-02	-4.13e-01	Napb	N-ethylmaleimide sensitive fusion protein attachment protein beta
1421492_at	3.48e-02	-2.45e-01	Hpgds	hematopoietic prostaglandin D synthase
1448255_a_at	3.48e-02	1.29e-01	Surf4	surfeit gene 4
1447647_at	3.49e-02	1.79	Wnt7a	wingless-type MMTV integration site family, member 7A
1429382_at	3.49e-02	-1.94e-01	Tomm40l	translocase of outer mitochondrial membrane 40 homolog-like (yeast)
1431754_at	3.49e-02	-1.87e-01	Ccdc173	coiled-coil domain containing 173
1435557_at	3.49e-02	-3.31e-01	Fhod1	formin homology 2 domain containing 1
1451398_at	3.49e-02	-1.86e-01	Cbr4	carbonyl reductase 4
1437469_at	3.49e-02	-3.16e-01	Zfp750	zinc finger protein 750
1443721_x_at	3.49e-02	2.47e-01	Sbno2	strawberry notch homolog 2 (Drosophila)
1420726_x_at	3.49e-02	-2.37e-01	Tmlhe	trimethyllysine hydroxylase, epsilon
1443752_at	3.49e-02	1.24	Ccdc180	coiled-coil domain containing 180
1426789_s_at	3.49e-02	1.46e-01	Ssrp1	structure specific recognition protein 1
1437749_s_at	3.50e-02	-3.29e-01	Mrpl9	mitochondrial ribosomal protein L9
1442262_at	3.50e-02	4.87e-01	Gm35792	predicted gene, 35792
1438714_at	3.50e-02	-3.07e-01	Zfp207	zinc finger protein 207
1456210_at	3.50e-02	1.85	Proser2	proline and serine rich 2
1433811_at	3.50e-02	-1.98e-01	Mllt6	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 6
1448784_at	3.50e-02	-2.44e-01	Taf10	TATA-box binding protein associated factor 10
1443217_at	3.51e-02	-9.29e-01	Gm13398	predicted gene 13398
1440417_at	3.51e-02	3.38e-01	D19Ertd409e	DNA segment, Chr 19, ERATO Doi 409, expressed
1438233_at	3.51e-02	2.01e-01	Fam178a	family with sequence similarity 178, member A
1424131_at	3.51e-02	5.28e-01	Col6a3	collagen, type VI, alpha 3
1433486_at	3.51e-02	-6.04e-01	Clcn3	chloride channel, voltage-sensitive 3
1421926_at	3.51e-02	-1.67	Mapk11	mitogen-activated protein kinase 11
1425498_at	3.51e-02	2.13e-01	Prpf4b	pre-mRNA processing factor 4B
1452804_at	3.52e-02	1.47	Morn5	MORN repeat containing 5
1432466_a_at	3.52e-02	4.35e-01	Apoe	apolipoprotein E
1429012_at	3.52e-02	-2.33e-01	Arhgef6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6
1459493_at	3.52e-02	7.82e-01	LOC102643220	uncharacterized LOC102643220
1417746_at	3.52e-02	6.15e-01	Cplx1	complexin 1
1433241_at	3.52e-02	-4.02e-01	9430013L17Rik	RIKEN cDNA 9430013L17 gene
1436260_at	3.52e-02	-5.98e-01	Cacna1e	calcium channel, voltage-dependent, R type, alpha 1E subunit
1457439_at	3.52e-02	7.51e-01		
1450516_a_at	3.52e-02	-1.04	Rab17	RAB17, member RAS oncogene family
1460287_at	3.52e-02	-1.40	Timp2	tissue inhibitor of metalloproteinase 2
1436019_a_at	3.52e-02	-1.40e-01	Trappc1	trafficking protein particle complex 1
1453312_at	3.52e-02	-1.77e-01	Dcaf6	DDB1 and CUL4 associated factor 6
1450631_x_at	3.53e-02	-1.14	Defa30///Defa24///Defa6///Defa1	defensin, alpha, 30///defensin, alpha, 24///defensin, alpha, 6///defensin, alpha 1
1426300_at	3.53e-02	-8.71e-01	Alcam	activated leukocyte cell adhesion molecule
1444952_a_at	3.53e-02	1.76e-01	Nucks1	nuclear casein kinase and cyclin-dependent kinase substrate 1
1437167_at	3.53e-02	1.31	Tmod2	tropomodulin 2
1427473_at	3.53e-02	1.25	Gstm3	glutathione S-transferase, mu 3
1450042_at	3.53e-02	2.06	Arx	aristaless related homeobox
1440336_at	3.53e-02	-2.05e-01	C130013H08Rik	RIKEN cDNA C130013H08 gene
1440420_at	3.53e-02	-3.27e-01		
1435161_at	3.53e-02	-2.07e-01	Sepsecs	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase
1427546_at	3.53e-02	6.82e-01	Abca8b	ATP-binding cassette, sub-family A (ABC1), member 8b
1459131_at	3.53e-02	1.64		
1457369_at	3.54e-02	3.48e-01		
1416071_at	3.54e-02	1.58e-01	Ddx18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18
1455246_at	3.54e-02	2.37e-01	Smarcc1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1
1460548_a_at	3.54e-02	1.41e-01	Eral1	Era (G-protein)-like 1 (E. coli)
1424261_at	3.54e-02	2.33e-01	Zfp672	zinc finger protein 672
1454275_at	3.54e-02	1.32		
1430824_at	3.55e-02	-4.57e-01	4933428G20Rik	RIKEN cDNA 4933428G20 gene
1448340_at	3.55e-02	-3.21e-01	Tmem30a	transmembrane protein 30A
1439264_x_at	3.55e-02	-3.60e-01	Lasp1	LIM and SH3 protein 1
1459444_at	3.55e-02	3.96e-01	Zfp91	zinc finger protein 91
1436085_at	3.55e-02	-2.37e-01	Zbtb34	zinc finger and BTB domain containing 34
1435428_at	3.55e-02	-4.75e-01	Fam193a	family with sequence similarity 193, member A
1423344_at	3.55e-02	-3.16e-01	Epor	erythropoietin receptor
1450052_at	3.55e-02	2.26e-01	Kif2a	kinesin family member 2A
1423618_at	3.55e-02	-3.96e-01	Bin1	bridging integrator 1
1440800_at	3.55e-02	-4.14e-01		
1431415_a_at	3.55e-02	-1.63e-01	Tbpl1	TATA box binding protein-like 1
1426998_at	3.55e-02	-1.75e-01	Zfand3	zinc finger, AN1-type domain 3
1460223_a_at	3.56e-02	-5.01e-01	Dmtn	dematin actin binding protein
1439496_at	3.56e-02	-6.27e-01		
1433682_at	3.56e-02	-6.29e-01	Arhgef17	Rho guanine nucleotide exchange factor (GEF) 17
1454465_at	3.56e-02	-2.55e-01	5830435N06Rik	RIKEN cDNA 5830435N06 gene
1428793_at	3.56e-02	2.02e-01	Slc36a1	solute carrier family 36 (proton/amino acid symporter), member 1
1437589_x_at	3.56e-02	3.60e-01	Zgpat	zinc finger, CCCH-type with G patch domain
1424588_at	3.56e-02	1.95	Srgap3	SLIT-ROBO Rho GTPase activating protein 3
1425896_a_at	3.56e-02	1.45	Fbn1	fibrillin 1
1431784_a_at	3.56e-02	-2.11e-01	Rpf1	ribosome production factor 1 homolog
1424828_a_at	3.56e-02	1.44e-01	Fh1	fumarate hydratase 1
1445488_at	3.56e-02	9.66e-01	Ranbp17	RAN binding protein 17
1448570_at	3.56e-02	-1.19e-01	Gmfb	glia maturation factor, beta
1435529_at	3.56e-02	4.30e-01	Ifit1bl1	interferon induced protein with tetratricpeptide repeats 1B like 1
1422384_at	3.57e-02	-1.58	Olfr1509	olfactory receptor 1509
1419654_at	3.57e-02	1.43e-01	Tle3	transducin-like enhancer of split 3
1446835_at	3.57e-02	-4.95e-01		
1416311_s_at	3.57e-02	4.07e-01	Tuba3b///Tuba3a	tubulin, alpha 3B///tubulin, alpha 3A
1458700_at	3.57e-02	-3.11e-01		
1432842_s_at	3.57e-02	-1.51e-01	Ywhaq	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide
1456035_at	3.57e-02	1.53	Nxf3	nuclear RNA export factor 3
1455738_at	3.57e-02	2.04e-01	Nsrp1	nuclear speckle regulatory protein 1
1446869_at	3.57e-02	-1.27	Gm19784	predicted gene, 19784
1439875_at	3.57e-02	-3.12e-01	Zfp128	zinc finger protein 128
1456099_at	3.57e-02	3.49e-01	D930017J03Rik	RIKEN cDNA D930017J03 gene
1424296_at	3.57e-02	3.19e-01	Gclc	glutamate-cysteine ligase, catalytic subunit
1428827_at	3.57e-02	-3.13e-01	Whsc1	Wolf-Hirschhorn syndrome candidate 1 (human)
1416892_s_at	3.57e-02	1.33e-01	Fam107b	family with sequence similarity 107, member B
1453228_at	3.57e-02	-2.01e-01	Stx11	syntaxin 11
1420701_at	3.58e-02	1.66	Klk1b1	kallikrein 1-related peptidase b1
1450356_at	3.58e-02	-1.24	Trhr2	thyrotropin releasing hormone receptor 2
1416357_a_at	3.58e-02	-1.06	Mcam	melanoma cell adhesion molecule
1446385_at	3.58e-02	-5.16e-01	9430083A17Rik	RIKEN cDNA 9430083A17 gene
1422876_at	3.58e-02	-1.68	Capn9	calpain 9
1430871_at	3.58e-02	-1.76	Plcb4	phospholipase C, beta 4
1422946_a_at	3.58e-02	3.56e-01	Dnmt1	DNA methyltransferase (cytosine-5) 1
1430726_at	3.58e-02	1.49	Rassf8	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8
1456423_at	3.58e-02	2.83e-01	Mbd5	methyl-CpG binding domain protein 5
1430290_at	3.58e-02	-2.47e-01	Rps15a-ps6	ribosomal protein S15A, pseudogene 6
1443664_s_at	3.58e-02	1.11	Cd164l2	CD164 sialomucin-like 2
1424349_a_at	3.58e-02	-2.59e-01	Lpgat1	lysophosphatidylglycerol acyltransferase 1
1435528_at	3.59e-02	-1.46e-01	Dnlz	DNL-type zinc finger
1426246_at	3.59e-02	-1.36e-01	Pros1	protein S (alpha)
