ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1425142_a_at	1.00	5.62e-02	2.13	-5.0400015	1.24e-01	Hnrnpd	heterogeneous nuclear ribonucleoprotein D
1441796_at	1.00	5.62e-02	-2.13	-5.040174	-3.05e-01	Fam136a	family with sequence similarity 136, member A
1422382_at	1.00	5.62e-02	2.13	-5.0407251	1.09	Olfr16	olfactory receptor 16
1423383_a_at	1.00	5.63e-02	2.13	-5.04114	2.00e-01	Osbpl9	oxysterol binding protein-like 9
1456115_at	1.00	5.63e-02	-2.13	-5.0411503	-2.75e-01	Phf3	PHD finger protein 3
1418976_s_at	1.00	5.63e-02	2.13	-5.0413039	2.31e-01	Cideb	cell death-inducing DNA fragmentation factor, alpha subunit-like effector B
1415963_at	1.00	5.63e-02	2.13	-5.0413251	1.63e-01	Hnrnph2	heterogeneous nuclear ribonucleoprotein H2
1427392_at	1.00	5.63e-02	-2.13	-5.041375	-1.13	Dscaml1	Down syndrome cell adhesion molecule like 1
1429184_at	1.00	5.63e-02	-2.13	-5.0417368	-1.45e-01	Gm4070///Gvin1	predicted gene 4070///GTPase, very large interferon inducible 1
1457038_at	1.00	5.63e-02	2.13	-5.041916	1.50	Frem2	Fras1 related extracellular matrix protein 2
1433925_at	1.00	5.63e-02	-2.13	-5.042005	-2.02e-01	Dync1li2	dynein, cytoplasmic 1 light intermediate chain 2
1451227_a_at	1.00	5.63e-02	-2.13	-5.0420989	-2.44e-01	Slc10a3	solute carrier family 10 (sodium/bile acid cotransporter family), member 3
1432091_a_at	1.00	5.64e-02	-2.13	-5.0428592	-8.36e-01	Sgsm3	small G protein signaling modulator 3
1458257_at	1.00	5.64e-02	-2.13	-5.0432685	-2.94e-01		
1439141_at	1.00	5.64e-02	-2.13	-5.0436236	-8.62e-01	Gpr18	G protein-coupled receptor 18
1459189_at	1.00	5.64e-02	2.13	-5.0439201	5.56e-01	2610037D02Rik	RIKEN cDNA 2610037D02 gene
1452119_at	1.00	5.64e-02	2.13	-5.0439795	3.35e-01	Rrp1b	ribosomal RNA processing 1 homolog B (S. cerevisiae)
1421191_s_at	1.00	5.64e-02	-2.13	-5.0440544	-1.40e-01	Gopc	golgi associated PDZ and coiled-coil motif containing
1447802_x_at	1.00	5.64e-02	2.13	-5.0440927	2.23e-01	LOC102633666	uncharacterized LOC102633666
1433514_at	1.00	5.64e-02	-2.13	-5.0441076	-1.11e-01	Etnk1	ethanolamine kinase 1
1435913_at	1.00	5.64e-02	2.13	-5.0441322	1.39	B4galnt4	beta-1,4-N-acetyl-galactosaminyl transferase 4
1440343_at	1.00	5.65e-02	-2.13	-5.0443	-1.59e-01	Rps6ka5	ribosomal protein S6 kinase, polypeptide 5
1449446_at	1.00	5.65e-02	2.13	-5.0450572	3.06e-01	Ccdc59	coiled-coil domain containing 59
1445274_at	1.00	5.65e-02	-2.13	-5.0450984	-6.44e-01	Gm3055///Zfp781	predicted gene 3055///zinc finger protein 781
1439257_x_at	1.00	5.65e-02	2.13	-5.0453708	1.81e-01	Rpn1	ribophorin I
1451804_a_at	1.00	5.65e-02	2.13	-5.0455025	1.75e-01	Lrrc16a	leucine rich repeat containing 16A
1451873_a_at	1.00	5.66e-02	2.13	-5.0458673	2.14e-01	Smad5	SMAD family member 5
1420697_at	1.00	5.66e-02	2.13	-5.0459437	1.19	Slc15a3	solute carrier family 15, member 3
1443349_at	1.00	5.66e-02	-2.13	-5.0461019	-1.80e-01		
1445910_at	1.00	5.66e-02	2.13	-5.0462534	5.62e-01	C79999	expressed sequence C79999
1454256_s_at	1.00	5.66e-02	-2.12	-5.0468367	-3.03e-01	Ptges3l	prostaglandin E synthase 3 (cytosolic)-like
1429906_at	1.00	5.66e-02	-2.12	-5.0469578	-1.28		
1452349_x_at	1.00	5.66e-02	2.12	-5.0470014	5.72e-01	Mnda///Ifi205	myeloid cell nuclear differentiation antigen///interferon activated gene 205
1437898_at	1.00	5.66e-02	-2.12	-5.0470039	-8.89e-01	C920009B18Rik	RIKEN cDNA C920009B18 gene
1434611_at	1.00	5.66e-02	2.12	-5.0471271	2.41e-01	Rnf123	ring finger protein 123
1417087_at	1.00	5.67e-02	-2.12	-5.0478333	-2.53e-01	Glg1	golgi apparatus protein 1
1458623_at	1.00	5.67e-02	-2.12	-5.0480239	-6.43e-01		
1439776_at	1.00	5.67e-02	-2.12	-5.0481784	-3.20e-01	Ogfod1	2-oxoglutarate and iron-dependent oxygenase domain containing 1
1418851_at	1.00	5.67e-02	2.12	-5.0482245	1.42e-01	Trim39	tripartite motif-containing 39
1420808_at	1.00	5.67e-02	-2.12	-5.0484711	-1.19e-01	Ncoa4	nuclear receptor coactivator 4
1457055_at	1.00	5.67e-02	2.12	-5.0487994	2.45e-01		
1442576_at	1.00	5.68e-02	-2.12	-5.0492937	-1.16	Creb5	cAMP responsive element binding protein 5
1436451_a_at	1.00	5.68e-02	2.12	-5.0494126	1.22e-01	Gm10698///Tmed2	predicted gene 10698///transmembrane emp24 domain trafficking protein 2
1454691_at	1.00	5.68e-02	-2.12	-5.049464	-6.95e-01	Nrxn1	neurexin I
1434691_at	1.00	5.68e-02	2.12	-5.0496303	2.72e-01	Scaf11	SR-related CTD-associated factor 11
1439408_a_at	1.00	5.68e-02	2.12	-5.0496597	3.55e-01	Med1	mediator complex subunit 1
1433382_at	1.00	5.68e-02	2.12	-5.0502147	1.75	Enho	energy homeostasis associated
1443804_at	1.00	5.68e-02	-2.12	-5.050217	-1.34	Ppp2r2c	protein phosphatase 2, regulatory subunit B, gamma
1424891_a_at	1.00	5.68e-02	-2.12	-5.050257	-1.24e-01	Zw10	zw10 kinetochore protein
1435539_at	1.00	5.68e-02	2.12	-5.0505015	4.46e-01	Htt	huntingtin
1422686_s_at	1.00	5.68e-02	2.12	-5.0505236	1.79e-01	Exoc4	exocyst complex component 4
1421821_at	1.00	5.68e-02	-2.12	-5.050659	-1.63e-01	Ldlr	low density lipoprotein receptor
1448805_at	1.00	5.69e-02	-2.12	-5.0510065	-2.16e-01	Usf1	upstream transcription factor 1
1428674_at	1.00	5.69e-02	2.12	-5.051101	1.78e-01	Prpf38b	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B
1444123_at	1.00	5.69e-02	-2.12	-5.0514718	-4.36e-01	Prdm2	PR domain containing 2, with ZNF domain
1439781_at	1.00	5.69e-02	-2.12	-5.0516724	-4.41e-01	D930048N14Rik	RIKEN cDNA D930048N14 gene
1441998_at	1.00	5.69e-02	2.12	-5.0519469	2.92e-01		
1430555_s_at	1.00	5.69e-02	-2.12	-5.0519963	-3.42e-01	Lrig3	leucine-rich repeats and immunoglobulin-like domains 3
1431133_at	1.00	5.69e-02	-2.12	-5.0522385	-1.76e-01	Arhgap18	Rho GTPase activating protein 18
1454219_at	1.00	5.69e-02	2.12	-5.0522442	2.23e-01	Dnajc2	DnaJ heat shock protein family (Hsp40) member C2
1435865_at	1.00	5.69e-02	-2.12	-5.0522473	-2.46e-01	Hist3h2a///Trim17	histone cluster 3, H2a///tripartite motif-containing 17
1436013_at	1.00	5.70e-02	2.12	-5.0526098	6.44e-01	Gsg1l	GSG1-like
1435352_at	1.00	5.70e-02	-2.12	-5.0526262	-1.49e-01	Pigk	phosphatidylinositol glycan anchor biosynthesis, class K
1456566_x_at	1.00	5.70e-02	2.12	-5.0535883	1.52e-01	Rbm14	RNA binding motif protein 14
1420967_at	1.00	5.71e-02	2.12	-5.0541105	1.98e-01	Slc25a15	solute carrier family 25 (mitochondrial carrier ornithine transporter), member 15
1456728_x_at	1.00	5.71e-02	-2.12	-5.0543019	-2.60e-01	Aco1	aconitase 1
1428432_at	1.00	5.71e-02	-2.12	-5.0544007	-1.65e-01	Zcchc24	zinc finger, CCHC domain containing 24
1428028_at	1.00	5.71e-02	-2.12	-5.0548914	-7.51e-01	Mkl2	MKL/myocardin-like 2
1427661_a_at	1.00	5.71e-02	-2.12	-5.0549174	-1.94e-01	Tssc4	tumor-suppressing subchromosomal transferable fragment 4
1430451_at	1.00	5.71e-02	2.12	-5.0551052	3.94e-01	4930481B07Rik	RIKEN cDNA 4930481B07 gene
1460070_at	1.00	5.71e-02	2.12	-5.055583	1.33	Chst2	carbohydrate sulfotransferase 2
1434540_a_at	1.00	5.71e-02	-2.12	-5.055597	-1.62e-01	Clta	clathrin, light polypeptide (Lca)
1452931_at	1.00	5.72e-02	-2.12	-5.0557047	-2.08e-01	Trp53rka	transformation related protein 53 regulating kinase A
1449057_at	1.00	5.72e-02	2.12	-5.0557754	1.74	Kel	Kell blood group
1448281_a_at	1.00	5.72e-02	2.12	-5.0558981	1.01	Cela2a	chymotrypsin-like elastase family, member 2A
1422687_at	1.00	5.72e-02	-2.12	-5.0564661	-1.58e-01	Nras	neuroblastoma ras oncogene
1456942_x_at	1.00	5.72e-02	2.12	-5.0567766	9.54e-01	Gm9112	predicted gene 9112
1435414_s_at	1.00	5.72e-02	-2.12	-5.0570264	-1.64e-01	Dctn1	dynactin 1
1446061_at	1.00	5.73e-02	-2.12	-5.057542	-4.28e-01		
1419316_s_at	1.00	5.73e-02	2.12	-5.0576487	2.27e-01	Gnb1l	guanine nucleotide binding protein (G protein), beta polypeptide 1-like
1446515_at	1.00	5.73e-02	-2.12	-5.0578559	-3.29e-01	Gm9933	predicted gene 9933
1427633_a_at	1.00	5.73e-02	2.12	-5.0578672	4.69e-01	Pappa	pregnancy-associated plasma protein A
1425272_at	1.00	5.73e-02	-2.12	-5.0586758	-1.16	Emp2	epithelial membrane protein 2
1459421_at	1.00	5.74e-02	-2.12	-5.0592739	-1.55	Hkdc1	hexokinase domain containing 1
1426280_at	1.00	5.74e-02	2.12	-5.0596657	3.08e-01	Wdpcp	WD repeat containing planar cell polarity effector
1437549_at	1.00	5.74e-02	2.12	-5.0596709	1.24	2810408I11Rik	RIKEN cDNA 2810408I11 gene
1416797_at	1.00	5.74e-02	2.12	-5.0598117	3.02e-01	Nck2	non-catalytic region of tyrosine kinase adaptor protein 2
1460109_at	1.00	5.74e-02	2.12	-5.0603727	3.14e-01	Tcf25	transcription factor 25 (basic helix-loop-helix)
1455540_at	1.00	5.75e-02	-2.12	-5.0607687	-5.25e-01	Cps1	carbamoyl-phosphate synthetase 1
1417889_at	1.00	5.75e-02	2.12	-5.0608322	7.70e-01	Apobec2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 2
1425764_a_at	1.00	5.75e-02	-2.12	-5.0609029	-1.97e-01	Bcat2	branched chain aminotransferase 2, mitochondrial
1440278_at	1.00	5.75e-02	2.12	-5.0609856	2.03e-01	Dynll1	dynein light chain LC8-type 1
1424026_s_at	1.00	5.75e-02	-2.12	-5.0611643	-1.64e-01	Ginm1	glycoprotein integral membrane 1
1440281_at	1.00	5.75e-02	-2.12	-5.0612527	-2.83e-01	Rmnd1	required for meiotic nuclear division 1 homolog
1447266_at	1.00	5.75e-02	2.12	-5.0614514	3.28e-01	Utp18	UTP18 small subunit processome component
1455067_at	1.00	5.75e-02	-2.12	-5.0615826	-2.11e-01	Psd4	pleckstrin and Sec7 domain containing 4
1423615_at	1.00	5.75e-02	-2.12	-5.0617211	-1.52e-01	Rnf115	ring finger protein 115
1458721_at	1.00	5.75e-02	2.12	-5.0617738	4.08e-01		
1438292_x_at	1.00	5.75e-02	-2.12	-5.0618639	-1.25e-01	Adk	adenosine kinase
1423682_a_at	1.00	5.75e-02	-2.12	-5.0620658	-2.67e-01	Cdca4	cell division cycle associated 4
1424900_at	1.00	5.76e-02	2.12	-5.0622615	1.17	Slc29a4	solute carrier family 29 (nucleoside transporters), member 4
1428790_at	1.00	5.76e-02	-2.12	-5.0622952	-3.51e-01	Nfam1	Nfat activating molecule with ITAM motif 1
1448430_a_at	1.00	5.76e-02	-2.12	-5.0626643	-1.04e-01	Naca	nascent polypeptide-associated complex alpha polypeptide
1450342_at	1.00	5.76e-02	-2.11	-5.0631154	-1.49	Bmp8b	bone morphogenetic protein 8b
1425434_a_at	1.00	5.76e-02	2.11	-5.063269	4.83e-01	Msr1	macrophage scavenger receptor 1
1434490_at	1.00	5.76e-02	-2.11	-5.0636503	-5.32e-01	Scarf1	scavenger receptor class F, member 1
1426811_at	1.00	5.76e-02	-2.11	-5.0637984	-2.12e-01	Ppp2r5b	protein phosphatase 2, regulatory subunit B', beta
1430314_at	1.00	5.77e-02	-2.11	-5.0646088	-3.01e-01	Noxred1	NADP+ dependent oxidoreductase domain containing 1
1445354_at	1.00	5.77e-02	2.11	-5.0647418	3.88e-01	Nxpe3	neurexophilin and PC-esterase domain family, member 3
1457891_at	1.00	5.77e-02	-2.11	-5.0650203	-2.06e-01	C230011H18Rik	RIKEN cDNA C230011H18 gene
1445155_at	1.00	5.77e-02	2.11	-5.0650848	9.95e-01		
1443376_at	1.00	5.78e-02	-2.11	-5.0655683	-9.89e-01		
1455843_at	1.00	5.78e-02	-2.11	-5.0655957	-1.61e-01	Fut4	fucosyltransferase 4
1452650_at	1.00	5.78e-02	-2.11	-5.0660225	-2.10e-01	Trim62	tripartite motif-containing 62
1441188_at	1.00	5.78e-02	2.11	-5.066353	4.18e-01		
1438659_x_at	1.00	5.78e-02	2.11	-5.0667817	2.31e-01	Chchd6	coiled-coil-helix-coiled-coil-helix domain containing 6
1449818_at	1.00	5.78e-02	2.11	-5.0669557	4.25e-01	Abcb4	ATP-binding cassette, sub-family B (MDR/TAP), member 4
1438179_s_at	1.00	5.79e-02	2.11	-5.0672634	2.49e-01	Elp2	elongator acetyltransferase complex subunit 2
1452059_at	1.00	5.79e-02	-2.11	-5.0676679	-2.81e-01	Slc35f5	solute carrier family 35, member F5
1425678_a_at	1.00	5.79e-02	-2.11	-5.0679665	-2.69e-01	Snrk	SNF related kinase
1457515_at	1.00	5.79e-02	2.11	-5.0682681	4.65e-01		
1450454_at	1.00	5.79e-02	-2.11	-5.068404	-2.91e-01	Tor3a	torsin family 3, member A
1424028_at	1.00	5.79e-02	-2.11	-5.0685943	-1.99e-01	Chtf8	CTF8, chromosome transmission fidelity factor 8
1424485_at	1.00	5.80e-02	2.11	-5.0690586	3.15e-01	Angptl3	angiopoietin-like 3
1416897_at	1.00	5.80e-02	-2.11	-5.069198	-1.62e-01	Parp9	poly (ADP-ribose) polymerase family, member 9
1450339_a_at	1.00	5.80e-02	-2.11	-5.0693511	-1.49	Bcl11b	B cell leukemia/lymphoma 11B
1422464_at	1.00	5.80e-02	2.11	-5.0694972	1.53e-01	Mrpl3	mitochondrial ribosomal protein L3
1433697_at	1.00	5.80e-02	2.11	-5.0695052	1.24e-01	Patl1	protein associated with topoisomerase II homolog 1 (yeast)
1428465_at	1.00	5.80e-02	2.11	-5.0697602	1.60e-01	Tmem147	transmembrane protein 147
1451348_at	1.00	5.80e-02	2.11	-5.0699961	2.90e-01	Deptor	DEP domain containing MTOR-interacting protein
1431141_at	1.00	5.80e-02	-2.11	-5.0700681	-2.16e-01	2610507I01Rik	RIKEN cDNA 2610507I01 gene
1450024_at	1.00	5.80e-02	2.11	-5.0701554	1.63e-01	Sufu	suppressor of fused homolog (Drosophila)
1437170_x_at	1.00	5.80e-02	-2.11	-5.0702257	-9.45e-01	Pdlim1	PDZ and LIM domain 1 (elfin)
1440508_at	1.00	5.80e-02	-2.11	-5.0702934	-6.28e-01	Gm14022	predicted gene 14022
1428097_at	1.00	5.81e-02	2.11	-5.0705066	3.17e-01	2510009E07Rik	RIKEN cDNA 2510009E07 gene
1455866_x_at	1.00	5.81e-02	-2.11	-5.0705652	-1.70	Txnl1	thioredoxin-like 1
1433628_at	1.00	5.81e-02	-2.11	-5.0706789	-1.16e-01	Coq10a	coenzyme Q10A
1427051_at	1.00	5.81e-02	-2.11	-5.0708819	-7.20e-01	Tnks1bp1	tankyrase 1 binding protein 1
1444697_at	1.00	5.81e-02	2.11	-5.0708895	1.86	4732490B19Rik	RIKEN cDNA 4732490B19 gene
1417402_at	1.00	5.81e-02	-2.11	-5.0710457	-1.66e-01	Smim11	small integral membrane protein 11
1443375_at	1.00	5.81e-02	2.11	-5.0712792	2.72e-01	Gnas	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus
1457478_at	1.00	5.81e-02	-2.11	-5.0713225	-6.96e-01		
1443345_at	1.00	5.81e-02	-2.11	-5.0713376	-7.88e-01	Gm36243	predicted gene, 36243
1434415_at	1.00	5.82e-02	2.11	-5.0720969	1.72	Dact3	dishevelled-binding antagonist of beta-catenin 3
1450163_a_at	1.00	5.82e-02	-2.11	-5.0725919	-3.41e-01	Wrn	Werner syndrome homolog (human)
1455051_at	1.00	5.83e-02	-2.11	-5.0736837	-3.41e-01	Rnf31	ring finger protein 31
1418303_at	1.00	5.83e-02	2.11	-5.0737383	1.88	H2afb1	H2A histone family, member B1
1454314_at	1.00	5.83e-02	-2.11	-5.0737753	-1.19	Gm2163///4930578G10Rik	predicted gene 2163///RIKEN cDNA 4930578G10 gene
1426042_at	1.00	5.83e-02	-2.11	-5.073945	-5.90e-01	Fgd4	FYVE, RhoGEF and PH domain containing 4
1440275_at	1.00	5.83e-02	2.11	-5.0744239	1.72e-01	Runx3	runt related transcription factor 3
1435738_x_at	1.00	5.83e-02	-2.11	-5.0747747	-1.35e-01	Serf2	small EDRK-rich factor 2
1438925_x_at	1.00	5.83e-02	-2.11	-5.0750304	-1.70e-01	Atp6v0c	ATPase, H+ transporting, lysosomal V0 subunit C
1460706_s_at	1.00	5.84e-02	-2.11	-5.0752205	-1.12e-01	Rer1	retention in endoplasmic reticulum sorting receptor 1
1452351_at	1.00	5.84e-02	-2.11	-5.0752712	-1.88e-01	Parp4	poly (ADP-ribose) polymerase family, member 4
1433265_at	1.00	5.84e-02	-2.11	-5.0753914	-7.63e-01	2810416A17Rik	RIKEN cDNA 2810416A17 gene
1447519_x_at	1.00	5.84e-02	2.11	-5.0756939	1.31	Tpx2	TPX2, microtubule-associated
1433186_at	1.00	5.84e-02	-2.11	-5.075889	-3.40e-01	Strada	STE20-related kinase adaptor alpha
1429317_at	1.00	5.84e-02	-2.11	-5.0759632	-3.66e-01	Qrsl1	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1
1419319_at	1.00	5.84e-02	2.11	-5.0765073	1.52	Saa4	serum amyloid A 4
1452390_at	1.00	5.84e-02	-2.11	-5.0766529	-3.41e-01	Brat1	BRCA1-associated ATM activator 1
1456051_at	1.00	5.85e-02	-2.11	-5.076772	-7.43e-01	Drd1	dopamine receptor D1
1439902_at	1.00	5.85e-02	-2.11	-5.0768735	-3.74e-01	C5ar1	complement component 5a receptor 1
1435449_at	1.00	5.85e-02	-2.11	-5.0769626	-8.19e-01	Bcl2l11	BCL2-like 11 (apoptosis facilitator)
1445067_at	1.00	5.85e-02	2.11	-5.0772543	4.18e-01		
1441356_at	1.00	5.85e-02	-2.11	-5.0774372	-5.00e-01	Shc2	SHC (Src homology 2 domain containing) transforming protein 2
1451576_at	1.00	5.85e-02	2.11	-5.0775426	2.30e-01	Prkdc	protein kinase, DNA activated, catalytic polypeptide
1458595_at	1.00	5.85e-02	2.11	-5.0776008	4.58e-01	Intu	inturned planar cell polarity protein
1418604_at	1.00	5.85e-02	-2.11	-5.0777592	-4.34e-01	Avpr1a	arginine vasopressin receptor 1A
1442243_at	1.00	5.85e-02	-2.11	-5.0777859	-2.59e-01	Per3	period circadian clock 3
1426898_at	1.00	5.85e-02	2.11	-5.0781795	1.57e-01	Tab1	TGF-beta activated kinase 1/MAP3K7 binding protein 1
1452420_at	1.00	5.85e-02	2.11	-5.0782122	5.09e-01	Stk32b	serine/threonine kinase 32B
1443749_x_at	1.00	5.86e-02	-2.11	-5.0784073	-6.44e-01	Slc1a3	solute carrier family 1 (glial high affinity glutamate transporter), member 3
1420165_s_at	1.00	5.86e-02	2.11	-5.0785773	1.73e-01	Dnajc17	DnaJ heat shock protein family (Hsp40) member C17
1454593_at	1.00	5.86e-02	2.11	-5.0787033	3.05e-01	Fgd3	FYVE, RhoGEF and PH domain containing 3
1421337_at	1.00	5.86e-02	-2.11	-5.0788821	-6.08e-01	Elf4	E74-like factor 4 (ets domain transcription factor)
1436071_at	1.00	5.86e-02	2.11	-5.0789304	2.09e-01	Ankrd26	ankyrin repeat domain 26
1423376_a_at	1.00	5.86e-02	-2.11	-5.0791083	-8.65e-01	Dok4	docking protein 4
1416674_at	1.00	5.86e-02	2.11	-5.0792223	4.35e-01	Ptpru	protein tyrosine phosphatase, receptor type, U
1439332_at	1.00	5.86e-02	-2.10	-5.0793298	-1.02	Ddit4l	DNA-damage-inducible transcript 4-like
1460498_a_at	1.00	5.87e-02	-2.10	-5.0800504	-1.50e-01	Dnajc5	DnaJ heat shock protein family (Hsp40) member C5
1440723_at	1.00	5.87e-02	-2.10	-5.080321	-1.34		
1433952_at	1.00	5.87e-02	-2.10	-5.0807027	-2.88e-01	Tufm	Tu translation elongation factor, mitochondrial
1417477_at	1.00	5.87e-02	-2.10	-5.0810753	-2.59e-01	Natd1	N-acetyltransferase domain containing 1
1440097_at	1.00	5.87e-02	-2.10	-5.0811471	-8.67e-01	Mirg	miRNA containing gene
1425002_at	1.00	5.87e-02	2.10	-5.0812407	1.57	Sectm1a	secreted and transmembrane 1A
1447441_at	1.00	5.87e-02	-2.10	-5.0812552	-1.09	Arhgef17	Rho guanine nucleotide exchange factor (GEF) 17
1449107_at	1.00	5.87e-02	2.10	-5.0813775	3.06e-01	Nudt4	nudix (nucleoside diphosphate linked moiety X)-type motif 4
1456914_at	1.00	5.87e-02	-2.10	-5.0814679	-3.50e-01	Slc16a4	solute carrier family 16 (monocarboxylic acid transporters), member 4
1416795_at	1.00	5.88e-02	2.10	-5.0815196	2.86e-01	Cryl1	crystallin, lambda 1
1450033_a_at	1.00	5.88e-02	-2.10	-5.0819087	-1.65e-01	Stat1	signal transducer and activator of transcription 1
1458452_at	1.00	5.88e-02	-2.10	-5.0819596	-2.28e-01	Ankrd11	ankyrin repeat domain 11
1419244_a_at	1.00	5.88e-02	-2.10	-5.0819935	-1.88e-01	Rab14	RAB14, member RAS oncogene family
1429088_at	1.00	5.88e-02	2.10	-5.0820119	4.20e-01	Lbh	limb-bud and heart
1440596_at	1.00	5.88e-02	2.10	-5.0822293	2.47e-01	Cabin1	calcineurin binding protein 1
1429311_at	1.00	5.88e-02	-2.10	-5.0826401	-1.18e-01	Ube2q1	ubiquitin-conjugating enzyme E2Q family member 1
1452443_s_at	1.00	5.88e-02	2.10	-5.082793	1.99e-01	Helz	helicase with zinc finger domain
1429415_at	1.00	5.89e-02	-2.10	-5.0832064	-1.71e-01	Zmynd8	zinc finger, MYND-type containing 8
1440615_at	1.00	5.89e-02	2.10	-5.0833928	3.60e-01	Dusp16	dual specificity phosphatase 16
1422963_at	1.00	5.89e-02	2.10	-5.0834531	2.12	Sprr2i	small proline-rich protein 2I
1442104_at	1.00	5.89e-02	-2.10	-5.0838811	-3.77e-01		
1434095_at	1.00	5.89e-02	-2.10	-5.0839713	-5.28e-01	Unc5a	unc-5 netrin receptor A
1457261_at	1.00	5.89e-02	-2.10	-5.0841462	-1.66	A930025H08Rik	RIKEN cDNA A930025H08 gene
1416898_a_at	1.00	5.90e-02	-2.10	-5.0848145	-1.75e-01	Irf3	interferon regulatory factor 3
1416280_at	1.00	5.90e-02	2.10	-5.0855514	1.27e-01	Uba2	ubiquitin-like modifier activating enzyme 2
1433904_at	1.00	5.90e-02	2.10	-5.0860012	3.93e-01	Ggnbp1	gametogenetin binding protein 1
1444588_at	1.00	5.90e-02	-2.10	-5.086083	-1.60		
AFFX-r2-Bs-lys-M_at	1.00	5.91e-02	-2.10	-5.0863327	-2.60e-01		
1431715_a_at	1.00	5.91e-02	2.10	-5.0864857	5.00e-01	Lig3	ligase III, DNA, ATP-dependent
1446764_at	1.00	5.91e-02	-2.10	-5.0867114	-1.23		
1458499_at	1.00	5.91e-02	-2.10	-5.0867381	-1.18	Pde10a	phosphodiesterase 10A
1424424_at	1.00	5.91e-02	-2.10	-5.0868109	-1.42e-01	Slc39a1	solute carrier family 39 (zinc transporter), member 1
1440566_at	1.00	5.91e-02	2.10	-5.0869282	4.92e-01	D330005C11Rik	RIKEN cDNA D330005C11 gene
1452748_at	1.00	5.91e-02	2.10	-5.0870355	1.29	Xrcc3	X-ray repair complementing defective repair in Chinese hamster cells 3
1436434_at	1.00	5.91e-02	2.10	-5.0874532	9.79e-01	E2f2	E2F transcription factor 2
1440371_at	1.00	5.92e-02	2.10	-5.0879194	8.86e-01		
1424887_at	1.00	5.92e-02	2.10	-5.0884244	2.10e-01	Klhdc4	kelch domain containing 4
1454977_at	1.00	5.92e-02	2.10	-5.0890744	1.96e-01	C2cd3	C2 calcium-dependent domain containing 3
1429034_at	1.00	5.92e-02	-2.10	-5.0893354	-2.31e-01	Eme2	essential meiotic structure-specific endonuclease subunit 2
1450422_a_at	1.00	5.92e-02	2.10	-5.0893395	1.41e-01	Kdelc1	KDEL (Lys-Asp-Glu-Leu) containing 1
1417795_at	1.00	5.93e-02	-2.10	-5.0894213	-6.05e-01	Chl1	cell adhesion molecule L1-like
1434189_at	1.00	5.93e-02	2.10	-5.0898503	1.36e-01	Stag1	stromal antigen 1
1417001_a_at	1.00	5.93e-02	-2.10	-5.0899725	-1.14e-01	Rsrp1	arginine/serine rich protein 1
1418452_at	1.00	5.93e-02	2.10	-5.0907379	3.93e-01	Gng2	guanine nucleotide binding protein (G protein), gamma 2
1456364_at	1.00	5.94e-02	2.10	-5.0911875	4.98e-01	C230057M02Rik	RIKEN cDNA C230057M02 gene
1455679_at	1.00	5.94e-02	-2.10	-5.0912454	-3.50e-01	Nabp1	nucleic acid binding protein 1
1427806_at	1.00	5.94e-02	2.10	-5.0912564	1.46		
1436143_at	1.00	5.94e-02	2.10	-5.0915686	5.31e-01	Nbas	neuroblastoma amplified sequence
1428599_at	1.00	5.94e-02	2.10	-5.0919606	1.55	Kndc1	kinase non-catalytic C-lobe domain (KIND) containing 1
1424052_at	1.00	5.95e-02	-2.10	-5.0926229	-2.70e-01	Thap4	THAP domain containing 4
1459248_at	1.00	5.95e-02	-2.10	-5.0928	-3.19e-01		
1459819_at	1.00	5.95e-02	-2.10	-5.0928505	-7.27e-01		
1425576_at	1.00	5.95e-02	-2.10	-5.092893	-2.81e-01	Ahcyl1	S-adenosylhomocysteine hydrolase-like 1
1432329_a_at	1.00	5.95e-02	-2.10	-5.0930179	-5.26e-01	Matk	megakaryocyte-associated tyrosine kinase
1448835_at	1.00	5.95e-02	-2.10	-5.093255	-2.57e-01	E2f6	E2F transcription factor 6
1449951_at	1.00	5.95e-02	-2.10	-5.0933965	-1.65e-01	Nfkbil1	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor like 1
1437628_s_at	1.00	5.95e-02	-2.10	-5.0938354	-1.12e-01	Rhoa	ras homolog family member A
1426486_at	1.00	5.95e-02	-2.10	-5.0939292	-1.31e-01	Ubxn4	UBX domain protein 4
1417189_at	1.00	5.95e-02	-2.10	-5.0940591	-1.43e-01	Psme2b///Psme2	protease (prosome, macropain) activator subunit 2B///proteasome (prosome, macropain) activator subunit 2 (PA28 beta)
1423462_at	1.00	5.96e-02	-2.10	-5.0941698	-1.30e-01	Tab2	TGF-beta activated kinase 1/MAP3K7 binding protein 2
1430840_at	1.00	5.96e-02	2.10	-5.0945836	1.16	4930449C09Rik	RIKEN cDNA 4930449C09 gene
1456418_at	1.00	5.96e-02	-2.10	-5.0948209	-2.68e-01	Kcnj13	potassium inwardly-rectifying channel, subfamily J, member 13
1457431_at	1.00	5.96e-02	-2.10	-5.0948813	-1.29		
1422002_at	1.00	5.96e-02	-2.10	-5.094907	-4.44e-01	Mxd1	MAX dimerization protein 1
